consumption_by_source,residential_total_final_consumption,year,Units,commercial_and_public_services_total_final,iso_alpha_3
natural_gas,529285.0,2000, TJ,190044.0,FRA
oil_products,400459.0,2000, TJ,180274.0,FRA
solid_biomass,279698.0,2000, TJ,15392.0,FRA
electricity,1850.0,2000, TJ,536.0,GAB
oil_products,1461.0,2000, TJ,696.0,GAB
solid_biomass,30975.0,2000, TJ,,GAB
Heat,,2000, TJ,,GEO
coal,334.0,2000, TJ,,GEO
electricity,9586.0,2000, TJ,7952.0,GEO
electricity,9586.0,2000, TJ,20.0,GEO
electricity,230.0,2000, TJ,7952.0,GEO
electricity,230.0,2000, TJ,20.0,GEO
natural_gas,10043.0,2000, TJ,687.0,GEO
oil_products,5432.0,2000, TJ,1953.0,GEO
solid_biomass,25012.0,2000, TJ,500.0,GEO
Heat,248284.0,2000, TJ,,DEU
coal,38878.0,2000, TJ,12974.0,DEU
electricity,469799.0,2000, TJ,451630.0,DEU
electricity,469799.0,2000, TJ,590.0,DEU
electricity,4053.0,2000, TJ,451630.0,DEU
electricity,4053.0,2000, TJ,590.0,DEU
natural_gas,981000.0,2000, TJ,243000.0,DEU
oil_products,815759.0,2000, TJ,369196.0,DEU
solid_biomass,168629.0,2000, TJ,,DEU
electricity,5324.0,2000, TJ,2095.0,GHA
oil_products,3646.0,2000, TJ,180.0,GHA
solid_biomass,106257.0,2000, TJ,3630.0,GHA
electricity,,2000, TJ,64.0,GIB
Heat,1174.0,2000, TJ,,GRC
coal,742.0,2000, TJ,,GRC
electricity,51145.0,2000, TJ,44135.0,GRC
electricity,51145.0,2000, TJ,242.0,GRC
electricity,6268.0,2000, TJ,44135.0,GRC
electricity,6268.0,2000, TJ,242.0,GRC
natural_gas,203.0,2000, TJ,360.0,GRC
oil_products,100872.0,2000, TJ,10271.0,GRC
solid_biomass,29392.0,2000, TJ,39.0,GRC
electricity,4989.0,2000, TJ,3477.0,GTM
oil_products,9265.0,2000, TJ,3886.0,GTM
solid_biomass,132796.0,2000, TJ,2851.0,GTM
electricity,417.0,2000, TJ,251.0,HTI
oil_products,4746.0,2000, TJ,,HTI
solid_biomass,70582.0,2000, TJ,1601.0,HTI
electricity,4787.0,2000, TJ,3531.0,HND
oil_products,3269.0,2000, TJ,952.0,HND
solid_biomass,46871.0,2000, TJ,,HND
electricity,32238.0,2000, TJ,80679.0,HKG
natural_gas,12479.0,2000, TJ,10088.0,HKG
oil_products,1445.0,2000, TJ,7520.0,HKG
solid_biomass,,2000, TJ,184.0,HKG
Heat,27961.0,2000, TJ,10975.0,HUN
coal,8224.0,2000, TJ,970.0,HUN
electricity,35251.0,2000, TJ,31968.0,HUN
electricity,35251.0,2000, TJ,3307.0,HUN
electricity,,2000, TJ,31968.0,HUN
electricity,,2000, TJ,3307.0,HUN
natural_gas,126665.0,2000, TJ,74237.0,HUN
oil_products,12929.0,2000, TJ,2884.0,HUN
solid_biomass,23162.0,2000, TJ,2292.0,HUN
Heat,9467.0,2000, TJ,6219.0,ISL
electricity,2181.0,2000, TJ,2739.0,ISL
electricity,2181.0,2000, TJ,1255.0,ISL
electricity,971.0,2000, TJ,2739.0,ISL
electricity,971.0,2000, TJ,1255.0,ISL
oil_products,386.0,2000, TJ,,ISL
coal,106334.0,2000, TJ,106987.0,IND
electricity,272524.0,2000, TJ,81420.0,IND
electricity,272524.0,2000, TJ,133.0,IND
electricity,1183.0,2000, TJ,81420.0,IND
electricity,1183.0,2000, TJ,133.0,IND
natural_gas,11613.0,2000, TJ,,IND
oil_products,752180.0,2000, TJ,,IND
solid_biomass,3868349.0,2000, TJ,75296.0,IND
coal,260.0,2000, TJ,,IDN
electricity,102211.0,2000, TJ,52516.0,IDN
electricity,102211.0,2000, TJ,,IDN
natural_gas,472.0,2000, TJ,1169.0,IDN
oil_products,412535.0,2000, TJ,58286.0,IDN
solid_biomass,474030.0,2000, TJ,8883.0,IDN
coal,774.0,2000, TJ,,IRN
