subsector_ssp,sector,subsector,category,aggregation_category,gas,ID,vars,ids,LBY
fgtv,1 - Energy,1.B - Fugitive emissions from fuels - Flaring,1.B - Fugitive emissions from fuels - Flaring,Fugitive Emissions,CH4,1.B - Fugitive emissions from fuels - Flaring:CH4,emission_co2e_ch4_fgtv_flaring_fuel_coal:emission_co2e_ch4_fgtv_flaring_fuel_crude:emission_co2e_ch4_fgtv_flaring_fuel_oil,24:1.B - Fugitive emissions from fuels - Flaring:CH4,3.135248
fgtv,1 - Energy,1.B - Fugitive emissions from fuels - Flaring,1.B - Fugitive emissions from fuels - Flaring,Fugitive Emissions,CO2,1.B - Fugitive emissions from fuels - Flaring:CO2,emission_co2e_co2_fgtv_flaring_fuel_coal:emission_co2e_co2_fgtv_flaring_fuel_crude:emission_co2e_co2_fgtv_flaring_fuel_oil,25:1.B - Fugitive emissions from fuels - Flaring:CO2,3.135248
ippu,2 - Industrial Processes and Product Use,2.A.1 - Cement production,2.A.1 - Cement production,IPPU,CO2,2.A.1 - Cement production:CO2,emission_co2e_co2_ippu_production_cement,26:2.A.1 - Cement production:CO2,1.246
ippu,2 - Industrial Processes and Product Use,2.A.2 - Lime production,2.A.2 - Lime production,IPPU,CO2,2.A.2 - Lime production:CO2,emission_co2e_co2_ippu_production_lime_and_carbonite,27:2.A.2 - Lime production:CO2,0.264
ippu,2 - Industrial Processes and Product Use,2.A.3 - Glass production,2.A.3 - Glass production,IPPU,CO2,2.A.3 - Glass production:CO2,emission_co2e_co2_ippu_production_glass,28:2.A.3 - Glass production:CO2,0
ippu,2 - Industrial Processes and Product Use,2.B - Chemical Industry,2.B - Chemical Industry,IPPU,CH4,2.B - Chemical Industry:CH4,emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_plastic,29:2.B - Chemical Industry:CH4,0.000349212627
ippu,2 - Industrial Processes and Product Use,2.B - Chemical Industry,2.B - Chemical Industry,IPPU,CO2,2.B - Chemical Industry:CO2,emission_co2e_co2_ippu_production_chemicals:emission_co2e_co2_ippu_production_plastic,30:2.B - Chemical Industry:CO2,0.25190247231
ippu,2 - Industrial Processes and Product Use,2.B - Chemical Industry,2.B - Chemical Industry,IPPU,N2O,2.B - Chemical Industry:N2O,emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_plastic,31:2.B - Chemical Industry:N2O,0.036316997649
ippu,2 - Industrial Processes and Product Use,2.B - Chemical Industry,2.B - Chemical Industry,IPPU,HFCS,2.B - Chemical Industry:HFCS,emission_co2e_hfcs_ippu_production_chemicals,32:2.B - Chemical Industry:HFCS,0.422431317414
ippu,2 - Industrial Processes and Product Use,2.C.1 - Iron and Steel Production,2.C.1 - Iron and Steel Production,IPPU,CH4,2.C.1 - Iron and Steel Production:CH4,emission_co2e_ch4_ippu_production_metals,33:2.C.1 - Iron and Steel Production:CH4,0.04126
ippu,2 - Industrial Processes and Product Use,2.C.1 - Iron and Steel Production,2.C.1 - Iron and Steel Production,IPPU,CO2,2.C.1 - Iron and Steel Production:CO2,emission_co2e_co2_ippu_production_metals,34:2.C.1 - Iron and Steel Production:CO2,2.02174
ippu,2 - Industrial Processes and Product Use,2.C.1 - Iron and Steel Production,2.C.1 - Iron and Steel Production,IPPU,HFCS,2.C.1 - Iron and Steel Production:HFCS,emission_co2e_hfcs_ippu_production_metals,35:2.C.1 - Iron and Steel Production:HFCS,0
ippu,2 - Industrial Processes and Product Use,2.D - Non-Energy Products from Fuels and Solvent Use,2.D - Non-Energy Products from Fuels and Solvent Use,IPPU,CO2,2.D - Non-Energy Products from Fuels and Solvent Use:CO2,emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_product_use_product_use_other,36:2.D - Non-Energy Products from Fuels and Solvent Use:CO2,0.27
ippu,2 - Industrial Processes and Product Use,2.F - Product Uses as Substitutes for Ozone Depleting Substances,2.F - Product Uses as Substitutes for Ozone Depleting Substances,IPPU,HFCS,2.F - Product Uses as Substitutes for Ozone Depleting Substances:HFCS,emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration:emission_co2e_hfcs_ippu_product_use_product_use_ods_other,37:2.F - Product Uses as Substitutes for Ozone Depleting Substances:HFCS,1.052
ippu,2 - Industrial Processes and Product Use,2.F - Product Uses as Substitutes for Ozone Depleting Substances,2.F - Product Uses as Substitutes for Ozone Depleting Substances,IPPU,PFCS,2.F - Product Uses as Substitutes for Ozone Depleting Substances:PFCS,emission_co2e_pfcs_ippu_product_use_product_use_ods_other,38:2.F - Product Uses as Substitutes for Ozone Depleting Substances:PFCS,1.052
lvst,"3 - Agriculture, Forestry, and Other Land Use",3.A.1 - Enteric Fermentation,3.A.1 - Enteric Fermentation,Livestock,CH4,3.A.1 - Enteric Fermentation:CH4,emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_sheep:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_chickens,39:3.A.1 - Enteric Fermentation:CH4,1.724131462971
lsmm,"3 - Agriculture, Forestry, and Other Land Use",3.A.1 - Enteric Fermentation,3.A.1 - Enteric Fermentation,Livestock,N2O,3.A.1 - Enteric Fermentation:N2O,emission_co2e_n2o_lsmm_direct_anaerobic_digester:emission_co2e_n2o_lsmm_direct_anaerobic_lagoon:emission_co2e_n2o_lsmm_direct_composting:emission_co2e_n2o_lsmm_direct_daily_spread:emission_co2e_n2o_lsmm_direct_deep_bedding:emission_co2e_n2o_lsmm_direct_dry_lot:emission_co2e_n2o_lsmm_direct_incineration:emission_co2e_n2o_lsmm_direct_liquid_slurry:emission_co2e_n2o_lsmm_direct_paddock_pasture_range:emission_co2e_n2o_lsmm_direct_poultry_manure:emission_co2e_n2o_lsmm_direct_storage_solid,40:3.A.1 - Enteric Fermentation:N2O,0.006868537029
lsmm,"3 - Agriculture, Forestry, and Other Land Use",3.A.2 - Manure Management,3.A.2 - Manure Management,Livestock,CH4,3.A.2 - Manure Management:CH4,emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid,41:3.A.2 - Manure Management:CH4,0.678
frst,"3 - Agriculture, Forestry, and Other Land Use",3.B.1 - Forest land,3.B.1 - Forest land,Forest Land - Sequestration,CO2,3.B.1 - Forest land:CO2,emission_co2e_co2_frst_sequestration_mangroves:emission_co2e_co2_frst_sequestration_primary:emission_co2e_co2_frst_sequestration_secondary,42:3.B.1 - Forest land:CO2,-1.94995571
soil,"3 - Agriculture, Forestry, and Other Land Use",3.C.1 - Burning,3.C.1 - Burning,Agriculture and Managed Soil,CO2,3.C.1 - Burning:CO2,emission_co2e_n2o_agrc_biomass_burning,43:3.C.1 - Burning:CO2,0
soil,"3 - Agriculture, Forestry, and Other Land Use",3.C.1 - Burning,3.C.1 - Burning,Agriculture and Managed Soil,CH4,3.C.1 - Burning:CH4,emission_co2e_ch4_agrc_biomass_burning,44:3.C.1 - Burning:CH4,0.007968256328
soil,"3 - Agriculture, Forestry, and Other Land Use",3.C.3 - Urea application,3.C.3 - Urea application,Agriculture and Managed Soil,CO2,3.C.3 - Urea application:CO2,emission_co2e_co2_soil_urea_use,45:3.C.3 - Urea application:CO2,1e-04
soil,"3 - Agriculture, Forestry, and Other Land Use",3.C.4 - Direct N2O Emissions from managed soils,3.C.4 - Direct N2O Emissions from managed soils,Agriculture and Managed Soil,N2O,3.C.4 - Direct N2O Emissions from managed soils:N2O,emission_co2e_n2o_soil_fertilizer:emission_co2e_n2o_soil_mineral_soils:emission_co2e_n2o_soil_organic_soils,46:3.C.4 - Direct N2O Emissions from managed soils:N2O,0.655
agrc,"3 - Agriculture, Forestry, and Other Land Use",3.C.5 - Indirect N2O Emissions from managed soils,3.C.5 - Indirect N2O Emissions from managed soils,Agriculture and Managed Soil,N2O,3.C.5 - Indirect N2O Emissions from managed soils:N2O,emission_co2e_n2o_agrc_crop_residues,47:3.C.5 - Indirect N2O Emissions from managed soils:N2O,0.246
lsmm,"3 - Agriculture, Forestry, and Other Land Use",3.C.6 - Indirect N2O Emissions from manure management,3.C.6 - Indirect N2O Emissions from manure management,Agriculture and Managed Soil,N2O,3.C.6 - Indirect N2O Emissions from manure management:N2O,emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid,48:3.C.6 - Indirect N2O Emissions from manure management:N2O,0.111
waso,4 - Waste,4.A - Solid Waste Disposal,4.A - Solid Waste Disposal,Solid Waste,CH4,4.A - Solid Waste Disposal:CH4,emission_co2e_ch4_waso_landfilled_chemical_industrial:emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_glass:emission_co2e_ch4_waso_landfilled_metal:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_other:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_plastic:emission_co2e_ch4_waso_landfilled_rubber_leather:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard:emission_co2e_ch4_waso_open_dump_chemical_industrial:emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_glass:emission_co2e_ch4_waso_open_dump_metal:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_other:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_plastic:emission_co2e_ch4_waso_open_dump_rubber_leather:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard,49:4.A - Solid Waste Disposal:CH4,0.762
trww,4 - Waste,4.D - Wastewater Treatment and Discharge,4.D - Wastewater Treatment and Discharge,Wastewater Treatment,CH4,4.D - Wastewater Treatment and Discharge:CH4,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment,50:4.D - Wastewater Treatment and Discharge:CH4,0.451573514608
trww,4 - Waste,4.D - Wastewater Treatment and Discharge,4.D - Wastewater Treatment and Discharge,Wastewater Treatment,N2O,4.D - Wastewater Treatment and Discharge:N2O,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment,51:4.D - Wastewater Treatment and Discharge:N2O,0.044426485392
ccsq,5- CCSQ,5- CCSQ,5- CCSQ,CCSQ,CH4,5- CCSQ:CH4,emission_co2e_ch4_ccsq_direct_air_capture,52:5- CCSQ:CH4,0
ccsq,5- CCSQ,5- CCSQ,5- CCSQ,CCSQ,CO2,5- CCSQ:CO2,emission_co2e_co2_ccsq_direct_air_capture,53:5- CCSQ:CO2,0
ccsq,5- CCSQ,5- CCSQ,5- CCSQ,CCSQ,N2O,5- CCSQ:N2O,emission_co2e_n2o_ccsq_direct_air_capture,54:5- CCSQ:N2O,0
