year,strategy_id,strategy_name,chart,metric,facility_type,value,units
2035,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.312163842147584,Mt CO2e
2036,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,1.9686789486024094,Mt CO2e
2036,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,23.00152512886938,Mt CO2e
2036,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,3.0879526538565916,Mt CO2e
2036,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.058156731329447,Mt CO2e
2037,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,1.7312397914311897,Mt CO2e
2037,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,23.132112864999826,Mt CO2e
2037,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,2.880736708819918,Mt CO2e
2037,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,27.744089365252044,Mt CO2e
2038,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,1.514161533329959,Mt CO2e
2038,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,23.192421929615136,Mt CO2e
2038,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,2.6674722963471043,Mt CO2e
2038,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,27.374055759293356,Mt CO2e
2039,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,1.3165995719366876,Mt CO2e
2039,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,23.187197781817016,Mt CO2e
2039,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,2.44903137794448,Mt CO2e
2039,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,26.952828731699384,Mt CO2e
2040,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,1.1372255378087015,Mt CO2e
2040,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,23.12215502092446,Mt CO2e
2040,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,2.2262694925588344,Mt CO2e
2040,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,26.48565005129325,Mt CO2e
2041,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.9743496583324309,Mt CO2e
2041,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,23.00369681103766,Mt CO2e
2041,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,1.9999987620961597,Mt CO2e
2041,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,25.978045231467558,Mt CO2e
2042,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.8260316691862096,Mt CO2e
2042,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,22.838661651097002,Mt CO2e
2042,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,1.770966574467074,Mt CO2e
2042,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,25.435659894751637,Mt CO2e
2043,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.6901814108827895,Mt CO2e
2043,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,22.634087481193653,Mt CO2e
2043,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,1.5398396949379465,Mt CO2e
2043,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,24.864108587015775,Mt CO2e
2044,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.5646502528096944,Mt CO2e
2044,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,22.396995061146654,Mt CO2e
2044,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,1.3071934016052769,Mt CO2e
2044,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,24.268838715563035,Mt CO2e
2045,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.4473146565141425,Mt CO2e
2045,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,22.134186205776643,Mt CO2e
2045,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,1.0735053964540877,Mt CO2e
2045,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,23.655006258746297,Mt CO2e
2046,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.33615322292520344,Mt CO2e
2046,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,21.852052463178538,Mt CO2e
2046,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,0.8391542967670584,Mt CO2e
2046,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,23.027359982872227,Mt CO2e
2047,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.29793805694044906,Mt CO2e
2047,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,21.556389954358355,Mt CO2e
2047,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,0.6044225709540365,Mt CO2e
2047,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,22.39013107440469,Mt CO2e
2048,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.29793805694044906,Mt CO2e
2048,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,21.252216348782852,Mt CO2e
2048,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,0.3695038513615603,Mt CO2e
2048,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,21.74692535863209,Mt CO2e
2049,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.29793805694044906,Mt CO2e
2049,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,20.943586327711472,Mt CO2e
2049,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,0.13451462171213047,Mt CO2e
2049,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,21.10061561155723,Mt CO2e
2050,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,0.29793805694044906,Mt CO2e
2050,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,20.633402385682665,Mt CO2e
2050,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,0.0,Mt CO2e
