Country,Strategy_id,Strategy,Sector,Direct_Jobs,Indirect_Jobs,Total_Jobs,ssp_sector,ssp_transformation_name
LBY,1007,AGRC: Improve rice management,Textiles and Wearing Apparel,0.0,10.22,10.22,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Transport,0.0,213.05,213.05,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Transport Equipment,0.0,15.82,15.82,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Wholesale Trade,0.0,676.38,676.38,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Wood and Paper,0.0,70.72,70.72,AGRC, Improve rice management
LBY,1010,FRST: Stop deforestation,Agriculture,2213.98,0.0,2213.98,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Construction,0.0,71.06,71.06,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,"Education, Health and Other Services",0.0,160.52,160.52,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Electrical and Machinery,0.0,53.82,53.82,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,"Electricity, Gas and Water",0.0,281.89,281.89,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Financial Intermediation and Business Activities,0.0,884.97,884.97,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Fishing,0.0,14.04,14.04,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Food & Beverages,0.0,105.57,105.57,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Hotels and Restaurants,0.0,41.65,41.65,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Maintenance and Repair,0.0,12.15,12.15,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Metal Products,0.0,26.52,26.52,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Mining and Quarrying,0.0,5.87,5.87,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Other Manufacturing,0.0,9.83,9.83,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Others,0.0,2.17,2.17,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,"Petroleum, Chemical and Non-Metallic Mineral Products",0.0,69.7,69.7,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Post and Telecommunications,0.0,94.78,94.78,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Private Households,0.0,0.05,0.05,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Public Administration,0.0,6.52,6.52,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Re-export & Re-import,0.0,0.0,0.0,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Recycling,0.0,0.18,0.18,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Retail Trade,0.0,120.47,120.47,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Textiles and Wearing Apparel,0.0,6.19,6.19,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Transport,0.0,163.31,163.31,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Transport Equipment,0.0,9.24,9.24,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Wholesale Trade,0.0,514.24,514.24,FRST, Stop deforestation
LBY,1010,FRST: Stop deforestation,Wood and Paper,0.0,52.77,52.77,FRST, Stop deforestation
LBY,1011,LNDU: Expand silvopasture,Agriculture,974.15,18.57,992.73,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Construction,0.0,87.0,87.0,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,"Education, Health and Other Services",0.0,163.09,163.09,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Electrical and Machinery,401.52,67.39,468.91,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,"Electricity, Gas and Water",0.0,399.15,399.15,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Financial Intermediation and Business Activities,0.0,940.53,940.53,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Fishing,0.0,8.09,8.09,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Food & Beverages,0.0,57.19,57.19,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Hotels and Restaurants,0.0,55.23,55.23,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Maintenance and Repair,0.0,18.17,18.17,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Metal Products,0.0,67.1,67.1,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Mining and Quarrying,0.0,26.54,26.54,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Other Manufacturing,0.0,13.61,13.61,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Others,0.0,3.0,3.0,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,"Petroleum, Chemical and Non-Metallic Mineral Products",386.13,42.96,429.1,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Post and Telecommunications,0.0,132.32,132.32,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Private Households,0.0,0.05,0.05,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Public Administration,0.0,6.72,6.72,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Re-export & Re-import,0.0,0.0,0.0,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Recycling,0.0,0.6,0.6,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Retail Trade,0.0,132.76,132.76,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Textiles and Wearing Apparel,0.0,10.0,10.0,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Transport,0.0,207.53,207.53,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Transport Equipment,0.0,16.33,16.33,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Wholesale Trade,0.0,674.1,674.1,LNDU, Expand silvopasture
LBY,1011,LNDU: Expand silvopasture,Wood and Paper,0.0,69.03,69.03,LNDU, Expand silvopasture
LBY,1013,LNDU: Expand sustainable grazing practices,Agriculture,974.15,18.57,992.73,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Construction,0.0,87.0,87.0,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,"Education, Health and Other Services",0.0,163.09,163.09,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Electrical and Machinery,401.52,67.39,468.91,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,"Electricity, Gas and Water",0.0,399.15,399.15,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Financial Intermediation and Business Activities,0.0,940.53,940.53,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Fishing,0.0,8.09,8.09,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Food & Beverages,0.0,57.19,57.19,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Hotels and Restaurants,0.0,55.23,55.23,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Maintenance and Repair,0.0,18.17,18.17,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Metal Products,0.0,67.1,67.1,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Mining and Quarrying,0.0,26.54,26.54,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Other Manufacturing,0.0,13.61,13.61,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Others,0.0,3.0,3.0,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,"Petroleum, Chemical and Non-Metallic Mineral Products",386.13,42.96,429.1,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Post and Telecommunications,0.0,132.32,132.32,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Private Households,0.0,0.05,0.05,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Public Administration,0.0,6.72,6.72,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Re-export & Re-import,0.0,0.0,0.0,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Recycling,0.0,0.6,0.6,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Retail Trade,0.0,132.76,132.76,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Textiles and Wearing Apparel,0.0,10.0,10.0,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Transport,0.0,207.53,207.53,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Transport Equipment,0.0,16.33,16.33,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Wholesale Trade,0.0,674.1,674.1,LNDU, Expand sustainable grazing practices
LBY,1013,LNDU: Expand sustainable grazing practices,Wood and Paper,0.0,69.03,69.03,LNDU, Expand sustainable grazing practices
LBY,1015,LNDU: Rehabilitate degraded land,Agriculture,2081.14,1.93,2083.07,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Construction,0.0,76.14,76.14,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,"Education, Health and Other Services",0.0,168.79,168.79,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Electrical and Machinery,0.0,55.8,55.8,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,"Electricity, Gas and Water",0.0,277.2,277.2,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Financial Intermediation and Business Activities,195.73,831.87,1027.6,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Fishing,0.0,13.46,13.46,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Food & Beverages,0.0,100.49,100.49,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Hotels and Restaurants,0.0,45.75,45.75,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Maintenance and Repair,0.0,11.95,11.95,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Metal Products,0.0,26.99,26.99,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Mining and Quarrying,0.0,5.78,5.78,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Other Manufacturing,0.0,10.3,10.3,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Others,0.0,2.2,2.2,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,"Petroleum, Chemical and Non-Metallic Mineral Products",0.0,67.93,67.93,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Post and Telecommunications,0.0,100.92,100.92,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Private Households,0.0,0.05,0.05,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Public Administration,0.0,6.69,6.69,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Re-export & Re-import,0.0,0.0,0.0,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Recycling,0.0,0.18,0.18,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Retail Trade,0.0,121.56,121.56,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Textiles and Wearing Apparel,0.0,6.09,6.09,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Transport,0.0,161.06,161.06,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Transport Equipment,0.0,9.6,9.6,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Wholesale Trade,0.0,501.51,501.51,LNDU, Rehabilitate degraded land
LBY,1015,LNDU: Rehabilitate degraded land,Wood and Paper,0.0,53.64,53.64,LNDU, Rehabilitate degraded land
LBY,1016,LSMM: Improve manure management for cattle and pigs,Agriculture,354.24,16.37,370.61,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Construction,568.57,49.65,618.22,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,"Education, Health and Other Services",0.0,130.54,130.54,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Electrical and Machinery,1062.85,51.26,1114.11,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,"Electricity, Gas and Water",863.62,198.14,1061.77,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Financial Intermediation and Business Activities,0.0,790.73,790.73,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Fishing,0.0,3.9,3.9,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Food & Beverages,0.0,24.84,24.84,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Hotels and Restaurants,0.0,46.05,46.05,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Maintenance and Repair,0.0,14.54,14.54,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Metal Products,0.0,111.37,111.37,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Mining and Quarrying,0.0,8.02,8.02,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Other Manufacturing,0.0,17.59,17.59,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Others,0.0,2.56,2.56,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,"Petroleum, Chemical and Non-Metallic Mineral Products",0.0,71.31,71.31,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Post and Telecommunications,0.0,131.57,131.57,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Private Households,0.0,0.03,0.03,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Public Administration,0.0,4.69,4.69,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Re-export & Re-import,0.0,0.0,0.0,LSMM, Improve manure management for cattle and pigs
LBY,1016,LSMM: Improve manure management for cattle and pigs,Recycling,0.0,0.37,0.37,LSMM, Improve manure management for cattle and pigs
